######;emperor title;#;#;;#;;;;;;;;;x
#empire_japanese;Empire;Empire;Reich;;Imperio;;;;;;;;;x
#empire_of_japanese;Empire of;Empire de;Reich von;;Imperio de;;;;;;;;;x
emperor_japanese;Tenno;Tenno;Tenno;;Tenno;;;;;;;;;x
#problem: reigning called tenno, consorts kogo;;;;;;;;;;;;;;x
emperor_female_japanese;Kogo;Kogo;Kogo;;Kogo;;;;;;;;;x
emperor_title_queen_mother_female_japanese;Kotaigo;Kotaigo;Kotaigo;;Kotaigo;;;;;;;;;x
######;king title;#;#;;#;;;;;;;;;x
SHOGUN;Shogun;Shogun;Shogun;;Shogun;;;;;;;;;x
SHOGUN_FOA;Shogun;Shogun;Shogun;;Shogun;;;;;;;;;x
SHOGUNATE_OF;Shogunate of;Shogunat de;Shogunat von;;Shogunato de;;;;;;;;;x
TAIKUN;Taikun;Taikun;Taikun;;Taikun;;;;;;;;;x
TAIKUN_FOA;Taikun;Taikun;Taikun;;Taikun;;;;;;;;;x
#kingdom_japanese;Oukoku;Oukoku;Oukoku;;Oukoku;;;;;;;;;x
#kingdom_of_japanese;Oukoku of;Oukoku de;Oukoku von;;Oukoku de;;;;;;;;;x
#kingdom_japanese;Shogunate;Shogunat;Shogunat;;Shogunato;;;;;;;;;x
#kingdom_of_japanese;Shogunate of;Shogunat de;Shogunat von;;Shogunato de;;;;;;;;;x
king_japanese;Kukuo;Kukuo;Kukuo;;Kukuo;;;;;;;;;x
city_king_japanese;Daijo-daijin;Daijo-daijin;Daijo Daijin;;Daijo Daijin;;;;;;;;;x
temple_kingdom_taoic_group;Theocracy;Théocratie;Theokratie;;Teocracia;;;;;;;;;x
temple_kingdom_of_taoic_group;Theocracy of;Théocratie de;Theokratie von;;Teocracia de;;;;;;;;;x
temple_king_taoic_group;Hierophant;Hiérophante;Hierophant;;Hierofante;;;;;;;;;x
######;;#;#;;#;;;;;;;;;x
#title_queen_mother;Kogo;Kogo;Kogo;;Kogo;;;;;;;;;x
