######;#;#;#;;#;;;;;;;;;x
immortal;Immortal;Immortel;Unsterblich;;Immortal;;;;;;;;;x;;
immortal2;Immortal;Immortel;Unsterblich;;Immortal;;;;;;;;;x;;
immortal2_desc;This character appears to be immune to age and disease.;Ce personnage semble immunisé contre l'age et la maladie.;Dieser Charakter ist gegen Alterung und Krankheit immun.;;This character appears to be immune to age and disease.;;;;;;;;;x;;
immortal_desc;This character appears to be immune to age and disease.;Ce personnage semble immunisé contre l'age et la maladie.;Dieser Charakter ist gegen Alterung und Krankheit immun.;;This character appears to be immune to age and disease.;;;;;;;;;x;;
######;#;#;#;;#;;;;;;;;;x
opinion_father;Father;Père;Vater;;Father;;;;;;;;;x;;
opinion_mother;Mother;Mère;Mutter;;Mother;;;;;;;;;x;;
opinion_nephew;Nephew;Neveu;Neffe;;Nephew;;;;;;;;;x;;
opinion_niece;Niece;Nièce;Nichte;;Niece;;;;;;;;;x;;
opinion_grandchild;Grandchild;Petit-Enfant;Enkel;;Grandchild;;;;;;;;;x;;
opinion_grandfather;Grandfather;Grand-Père;Großvater;;Grandfather;;;;;;;;;x;;
opinion_grandmother;Grandmother;Grand-Mère;Großmutter;;Grandmother;;;;;;;;;x;;
opinion_cousin;Cousin;Cousin;Cousine;;Cousin;;;;;;;;;x;;
opinion_aunt;Aunt;Tante;Tante;;Aunt;;;;;;;;;x;;
opinion_uncle;Uncle;Oncle;Onkel;;Uncle;;;;;;;;;x;;
opinion_sibling;Sibling;Enfant;Geschwister;;Sibling;;;;;;;;;x;;
attempted_murder_of_close_kin;Attempted Murder of Close Kin;Tentative de meurtre de parents proches;Sippenmörder;;Attempted Murder of Close Kin;;;;;;;;;x;;
executed_kin;Executed Relative;Parent exécuté;Hingerichteter Verwandter;;Executed Relative;;;;;;;x;;;;
######;#;#;#;;#;;;;;;;;;x
TYRANTTOOLTIP10;Gain §R10§! Tyranny\n;Gain §R10§! Tyrannie\n;Erhalte §R10§! Tyrannei\n;;Gain §R10§! Tyranny\n;;;;;;;;;x
TYRANTTOOLTIP15;Gain §R15§! Tyranny\n;Gain §R15§! Tyrannie\n;Erhalte §R15§! Tyrannei\n;;Gain §R15§! Tyranny\n;;;;;;;;;x
TYRANTTOOLTIP20;Gain §R20§! Tyranny\n;Gain §R20§! Tyrannie\n;Erhalte §R20§! Tyrannei\n;;Gain §R20§! Tyranny\n;;;;;;;;;x
TYRANTTOOLTIP30;Gain §R30§! Tyranny\n;Gain §R30§! Tyrannie\n;Erhalte §R30§! Tyrannei\n;;Gain §R30§! Tyranny\n;;;;;;;;;x
TYRANTTOOLTIP40;Gain §R40§! Tyranny\n;Gain §R40§! Tyrannie\n;Erhalte §R40§! Tyrannei\n;;Gain §R40§! Tyranny\n;;;;;;;;;x
TYRANTTOOLTIP5;Gain §R5§! Tyranny\n;Gain §R5§! Tyrannie\n;Erhalte §R5§! Tyrannei\n;;Gain §R5§! Tyranny\n;;;;;;;;;x
######;#;#;#;;#;;;;;;;;;x
dishonorable1;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable10;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable10_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable1_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable2;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable2_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable3;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable3_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable4;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
dishonorable4_desc;This character has a reputation for underhanded scheming.;Ce personnage a la réputation de concevoir des projets sournois.;Dieser Charakter hat den Ruf eines hinterhältigen Verschwörers.;;This character has a reputation for underhanded scheming.;;;;;;;x;;;;
dishonorable5;Dishonorable;Déshonorant;Unehrenhaft;;Dishonorable;;;;;;;x;;;;
